sector,cname,bse_code
Others,Ganesh Polytex Limited,18093
Steel -  Steel  -  Others,Gangotri Iron & Steel Company Limited,530945
Textile -  Textiles  -  Others,Gangotri Textiles Limited,521176
Textile -  Other Natural Fibres,Garden Silk Mills Limited,500155
Steel -  Steel  -  Others,Garden Silk Mills Limited,530615
Steel -  Steel  -  Others,Garden Silk Mills Limited,14306
Const/Bldg Material -  Construction  -  Housing/Industrial,Garden Silk Mills Limited,526727
IT -  Software  -  Small/Medium,Garnet International Limited,512493
Chemicals -  Chemicals  -  Others,Garodia Chemicals Limited,30161
Others -  Miscella  -  Others,Garware Marine Industries Limited,509563
Packaging -  Packaging,Garware Polyester Limited,500655
Textile -  Textiles  -  Others,Garware Synthetics Limited,14400
Textile -  Textiles  -  Others,Garware Synthetics Limited,509557
Courier and Logistic Services -  Courier and Logistic Services,Garware Synthetics Limited,532622
Courier and Logistic Services -  Courier and Logistic Services,Garware Synthetics Limited,532345
Others -  Starch,Gayatri BioOrganics Limited,524564
Const/Bldg Material -  Construction  -  Infrastructure,Gayatri Projects Limited,532767
Sugar -  Sugar,Gayatri Sugars Limited,532183
Financial Services -  NBFC  -  Small / Medium,Gazi Financial Services & Investments Limited,30195
Financial Services -  NBFC  -  Small / Medium,Gazi Financial Services & Investments Limited,31114
Others,Gee El Woollens Limited,14394
Mining -  Minerals,Gee Gee Granites Limited,15097
Mining -  Minerals,Gee Gee Granites Limited,532764
Financial Services -  NBFC  -  Small / Medium,Geefcee Finance Limited,530389
Others -  Trading,Geekay Exim (India) Limited,23153
Engineering -  Engineering  -  Others,GEI Industrial Systems Limited,530743
Others -  Miscella  -  Others,Gemini Agritech Limited,32125
IT -  Hardware,Gemini Agritech Limited,532318
Engineering -  Machine Tools,Gemini Engi-Fab Limited,NA
Financial Services -  NBFC  -  Small / Medium,Gemstone Investments Limited,531137
Financial Services -  NBFC  -  Small / Medium,Gemstone Investments Limited,4243
Financial Services -  NBFC  -  Small / Medium,Gemstone Investments Limited,506109
Food Products -  Animal Products & Hatcheries,Gemstone Investments Limited,24011
sector,cname,bse_code
Engineering -  Bearings,F A G Bearings India Limited,505790
Others -  Miscella  -  Others,F A L Industries Limited,5705
